,property_config,city,bin,bedroom_1,bedroom_2,bedroom_3,wall_a,wall_b,wall_c
18,1 BHK,Chennai,3,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
19,1 BHK,Chennai,4,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
20,1 BHK,Chennai,1,6.6,0.0,0.0,7.049999999999999,6.324999999999999,9.170891089108911
21,1 BHK,Chennai,2,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
22,1 BHK,Chennai,3,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
23,1 BHK,Chennai,4,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
24,1 BHK,Chennai,1,6.6,0.0,0.0,7.049999999999999,6.324999999999999,9.170891089108911
25,1 BHK,Chennai,2,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
26,1 BHK,Chennai,3,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
27,1 BHK,Chennai,4,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
28,1 BHK,Chennai,1,6.6,0.0,0.0,7.049999999999999,6.324999999999999,9.170891089108911
29,1 BHK,Chennai,2,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
30,1 BHK,Chennai,3,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
31,1 BHK,Chennai,4,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
32,1 BHK,Hyderabad,1,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
33,1 BHK,Hyderabad,2,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
34,1 BHK,Hyderabad,3,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
35,1 BHK,Hyderabad,4,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
36,1 BHK,Hyderabad,1,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
37,1 BHK,Hyderabad,2,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
38,1 BHK,Hyderabad,3,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
39,1 BHK,Hyderabad,4,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
40,1 BHK,Hyderabad,1,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
41,1 BHK,Hyderabad,2,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
42,1 BHK,Hyderabad,3,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
43,1 BHK,Hyderabad,4,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
44,1 BHK,Hyderabad,1,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
45,1 BHK,Hyderabad,2,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
46,1 BHK,Hyderabad,3,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
47,1 BHK,Hyderabad,4,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
48,1 BHK,Kolkata,1,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
49,1 BHK,Kolkata,2,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
50,1 BHK,Kolkata,3,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
51,1 BHK,Kolkata,4,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
52,1 BHK,Kolkata,1,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
53,1 BHK,Kolkata,2,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
54,1 BHK,Kolkata,3,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
55,1 BHK,Kolkata,4,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
56,1 BHK,Kolkata,1,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
57,1 BHK,Kolkata,2,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
58,1 BHK,Kolkata,3,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
59,1 BHK,Kolkata,4,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
60,1 BHK,Kolkata,1,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
61,1 BHK,Kolkata,2,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
62,1 BHK,Kolkata,3,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
63,1 BHK,Kolkata,4,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
64,1 BHK,Mumbai,1,5.1,0.0,0.0,9.896666666666667,9.107,9.170891089108911
65,1 BHK,Mumbai,2,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
66,1 BHK,Mumbai,3,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
67,1 BHK,Mumbai,4,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
68,1 BHK,Mumbai,1,5.1,0.0,0.0,9.896666666666667,9.107,9.170891089108911
69,1 BHK,Mumbai,2,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
70,1 BHK,Mumbai,3,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
71,1 BHK,Mumbai,4,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
72,1 BHK,Mumbai,1,5.1,0.0,0.0,9.896666666666667,9.107,9.170891089108911
73,1 BHK,Mumbai,2,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
74,1 BHK,Mumbai,3,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
75,1 BHK,Mumbai,4,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
76,1 BHK,Mumbai,1,5.1,0.0,0.0,9.896666666666667,9.107,9.170891089108911
